ref_code,base_y,base_x,offsets
W0C/SP-022,14427,-27734,0:-2 0:0 3:0
W0C/SP-023,14360,-27707,-1:0 0:-1 0:0 1:-1
W0C/SP-024,14363,-27695,0:-1 0:0 1:-4
W0C/SP-025,14549,-27646,0:0 1:-1
W0C/SP-026,14306,-27694,-1:0 0:0 0:1 1:0
W0C/SP-027,14298,-27693,-1:1 0:0 1:-1 2:-1
W0C/SP-028,14332,-27722,-1:0 0:0 1:0
W0C/SP-029,14449,-27755,-2:-3 0:0 1:1
W0C/SP-030,14594,-27591,0:0 1:-1 1:0 2:-1
W0C/SP-031,14347,-27691,0:-1 0:0 1:0
W0C/SP-032,14627,-27570,-1:0 0:-2 0:-1 0:0 1:0 2:1 3:1 4:2
W0C/SP-033,14338,-27708,-1:0 -1:1 0:0 0:1 1:-4 1:1 2:3
W0C/SP-034,14542,-27642,-3:2 -2:-2 -2:-1 -2:0 -2:1 -2:2 -1:0 -1:1 0:0 0:1 0:2 1:2
W0C/SP-040,14320,-27694,-1:0 0:-1 0:0
W0C/SP-041,14516,-27634,-1:1 0:0 0:1
W0C/SP-042,14373,-27715,-2:1 -1:0 0:0
W0C/SP-043,14305,-27705,-2:1 -1:1 0:0 1:0
W0C/SP-045,14252,-27672,-1:-1 -1:0 0:-1 0:0 0:1 1:-1
W0C/SP-046,14586,-27586,-3:2 -2:2 -1:1 -1:2 0:0 0:1 0:2 1:1 1:2 4:0 4:1 5:0 5:1
W0C/SP-127,14345,-27713,-1:0 0:0
W0C/SR-001,14488,-27721,-2:0 -1:0 0:0 0:1
W0C/SR-002,14416,-27688,0:0 0:1
W0C/SR-003,14323,-27669,0:0 1:0
W0C/SR-004,14303,-27667,0:0 2:-4 2:-3
W0C/SR-005,14351,-27668,0:0
W0C/SR-006,14429,-27699,-1:1 0:0 0:1 1:0
W0C/SR-007,14386,-27686,0:0 1:-1
W0C/SR-008,14408,-27682,0:0
W0C/SR-009,14617,-27730,0:0
W0C/SR-010,14424,-27719,-1:1 0:0
W0C/SR-011,14230,-27663,0:-1 0:0
W0C/SR-012,14593,-27638,-1:4 0:-1 0:0 1:0
W0C/SR-013,14492,-27730,-1:-1 -1:0 0:0
W0C/SR-014,14452,-27714,-1:-1 -1:0 0:0
W0C/SR-015,14486,-27733,0:0
W0C/SR-016,14580,-27643,-3:-1 -3:0 -1:-1 0:-1 0:0
W0C/SR-017,14680,-27551,0:0 2:3
W0C/SR-018,14291,-27688,0:0
W0C/SR-019,14671,-27547,-1:0 -1:1 0:0
W0C/SR-020,14494,-27751,-4:1 -1:-1 0:0
W0C/SR-021,14317,-27667,0:0 0:1 3:-3 3:-2
W0C/SR-022,14290,-27683,-1:0 0:0 1:-1
W0C/SR-023,14322,-27687,0:0 2:-1
W0C/SR-024,14725,-27693,0:-1 0:0
W0C/SR-025,14714,-27580,0:0
