# lat,lon,effective_radius_m -- worldwide city anchors for
# score_points()'s in-city test (docs/features/places.md). US rows are
# the untouched original app/reference/places.csv (US Census 2024
# Gazetteer places, radius = sqrt(ALAND/pi)). Non-US rows are derived
# from GeoNames cities500 (download.geonames.org), radius estimated from
# population (GeoNames carries no land-area figure) at an assumed
# 1500 people/km^2, clamped to [300m, 25000m] -- see
# scripts/build_global_anchors.py for the derivation and the
# Boise/SLC/Denver sanity check against the real US Census circles.
30.1352,-97.8364,1270
30.1377,-94.4043,1378
30.1418,-95.7001,975
30.1436,-94.8158,841
30.144,-97.8194,605
30.1472,-94.6426,1282
30.1484,-95.3237,1631
30.1485,-96.6907,1162
30.1492,-94.7377,1462
30.1507,-94.2709,1297
30.1508,-102.4079,1859
30.151,-93.2742,2096
30.1569,-95.4416,1110
30.1582,-96.3956,3281
30.1605,-97.2398,2767
30.1645,-97.8631,1336
30.1702,-94.3183,3297
30.1726,-95.5098,5973
30.1751,-94.0353,1524
30.1767,-93.3696,3020
30.1781,-93.7553,1769
30.1805,-92.5015,407
30.1813,-95.1836,1287
30.182,-95.1523,1342
30.1824,-97.9401,970
30.1837,-96.928,2086
30.184,-95.4557,1269
30.1858,-96.6031,988
30.188,-92.5838,1326
30.1881,-97.2932,3156
30.1885,-97.9845,1390
30.1886,-95.7035,2555
30.1917,-94.1921,565
30.1954,-93.5822,2050
30.1959,-98.0937,2696
30.1964,-95.1651,1369
30.199,-93.2108,6256
30.2008,-95.0956,1729
30.2033,-97.5614,3143
30.2129,-97.1258,1332
30.213,-95.7426,1998
30.2172,-95.413,264
30.2209,-103.2366,2083
30.224,-92.6583,2951
30.2258,-97.8158,1073
30.2261,-97.4996,1313
30.2284,-95.1624,1583
30.2298,-93.3563,3043
30.231,-93.8715,2633
30.2331,-92.9208,1201
30.235,-93.761,1524
30.2355,-92.7481,594
30.2356,-92.8124,2283
30.2399,-97.5902,2784
30.2414,-93.013,1673
30.2455,-92.5116,1999
30.2536,-98.6609,3520
30.2539,-95.3301,1180
30.255,-94.208,3325
30.2609,-95.83,1279
30.261,-93.2635,1775
30.2657,-98.8757,2807
30.2661,-99.2726,6829
30.2721,-98.4071,1268
30.2736,-97.7868,759
30.2789,-97.2524,1836
30.2832,-97.8696,2010
30.2916,-97.8142,1721
30.2986,-97.7541,16404
30.2998,-93.773,3038
30.3022,-97.8498,1283
30.3077,-97.9626,2681
30.3088,-93.2079,3543
30.3105,-93.6667,1681
30.3107,-104.0255,1157
30.3126,-95.8765,1505
30.3153,-95.3014,686
30.3266,-94.052,3722
30.3287,-95.4846,7908
30.3343,-95.8641,1276
30.3355,-95.3451,1495
30.3382,-95.0903,3937
30.3454,-96.5309,1540
30.3455,-94.1768,2517
30.3465,-97.9864,940
30.3542,-97.5583,2843
30.3544,-97.3914,2434
30.355,-97.9863,3258
30.355,-96.8231,770
30.3625,-95.1011,1247
30.3639,-103.6645,1995
30.3643,-92.917,632
30.3654,-97.8959,2339
30.3725,-94.3157,1811
30.3769,-93.1998,1172
30.3826,-95.4934,942
30.3841,-97.9982,840
30.3864,-96.0907,2624
30.3885,-96.3449,1915
30.3904,-95.6982,2180
30.3943,-98.3612,1378
30.4088,-96.5392,1561
30.4093,-98.0445,1139
30.4143,-97.0099,1050
30.4147,-97.9273,1813
30.4284,-96.7576,433
30.4342,-95.4842,1975
30.4427,-93.9607,2223
30.4435,-97.68,1415
30.4453,-97.9079,1321
30.4478,-97.6021,4628
30.449,-93.4457,1622
30.4523,-96.5602,1600
30.4526,-97.991,3450
30.4569,-97.3924,1260
30.4813,-92.6976,1170
30.4817,-97.932,2320
30.4831,-92.852,2134
30.4855,-92.601,978
30.4862,-95.0113,2242
30.4868,-95.9903,650
30.4877,-94.7676,1388
30.4908,-99.7732,1377
30.491,-96.4725,1249
30.4983,-98.2185,1272
30.5102,-97.8186,4592
30.5128,-97.7394,2305
30.5151,-96.7734,1244
30.5217,-93.0362,1412
30.5253,-94.4487,1898
30.5261,-97.6635,5607
30.5289,-93.4391,1346
30.5298,-96.6997,1878
30.5344,-95.8498,1224
30.5398,-95.4821,1349
30.5408,-98.3806,3437
30.5416,-97.5442,3492
