ref_type,ref_code,name,lat,lon,points,source,area_m2,geom
summit,W5N/SE-011,Cerro Grande,35.869500,-106.413000,100,SOTA,,
summit,W5N/SE-012,Los Griegos,35.795600,-106.551600,100,SOTA,,
summit,W5N/SI-001,Sandia Crest,35.210200,-106.449600,100,SOTA,,
summit,W5N/SI-002,Manzano Peak,34.591200,-106.447000,100,SOTA,,
summit,W5N/SM-001,Mount Taylor,35.238700,-107.608400,100,SOTA,,
summit,W5N/SS-001,Wheeler Peak,36.556800,-105.416900,100,SOTA,,
summit,W5N/SS-002,12931,36.903600,-105.332300,100,SOTA,,
summit,W5N/SS-003,Vintrero Benchmark,36.960600,-105.338300,100,SOTA,,
summit,W5N/SS-004,Lake Fork Peak,36.550200,-105.445200,100,SOTA,,
summit,W5N/SS-005,Venado Peak,36.791700,-105.493400,100,SOTA,,
summit,W5N/SS-006,Gold Hill,36.643100,-105.455800,100,SOTA,,
summit,W5N/SS-007,Vallecito Mountain,36.534100,-105.462200,100,SOTA,,
summit,W5N/SS-008,Pueblo Peak,36.491100,-105.483100,100,SOTA,,
summit,W5N/SS-009,Lobo Peak,36.610200,-105.543400,100,SOTA,,
summit,W5N/SS-010,Cerro Vista,36.234000,-105.412600,100,SOTA,,
summit,W5N/SS-011,11912,36.549600,-105.499800,100,SOTA,,
summit,W5N/SS-012,Relica Peak,36.631300,-105.410800,100,SOTA,,
summit,W5N/SS-013,Cuchillo de Fernando,36.270700,-105.356600,100,SOTA,,
summit,W5N/SS-014,11312,36.845300,-105.485700,100,SOTA,,
summit,W5N/SS-015,Greenie Peak,36.762100,-105.379500,100,SOTA,,
summit,W5N/SS-016,Van Diest Peak,36.743400,-105.317600,100,SOTA,,
summit,W5N/SS-017,11055,36.236000,-105.294200,100,SOTA,,
summit,W5N/SS-018,Sawmill Mountain,36.729100,-105.424900,100,SOTA,,
summit,W5N/SS-019,10900,36.283500,-105.441500,100,SOTA,,
summit,W5N/SS-020,10812,36.719100,-105.506500,100,SOTA,,
summit,W5N/SS-021,Picuris Peak,36.247200,-105.654800,100,SOTA,,
summit,W5N/SS-022,10535,36.132600,-105.301000,100,SOTA,,
summit,W5N/SS-023,Capulin Peak,36.408400,-105.423300,100,SOTA,,
summit,W5N/SS-024,Sierra de Don Fernando,36.341800,-105.425300,100,SOTA,,
summit,W5N/SS-025,10334,36.741300,-105.272600,100,SOTA,,
summit,W5N/SS-026,Cerro Picacho,36.115100,-105.434700,100,SOTA,,
summit,W5N/SS-027,10220,36.205800,-105.279500,100,SOTA,,
summit,W5N/SS-028,10210,36.484100,-105.339300,100,SOTA,,
summit,W5N/SS-029,Palo Encebado Peak,36.409700,-105.454800,100,SOTA,,
summit,W5N/SS-030,Ute Mountain,36.937700,-105.684300,100,SOTA,,
summit,W5O/KI-001,Kiamichi Mountain,34.626400,-94.812200,100,SOTA,,
summit,W5O/OU-001,Lynn Mountain,34.593500,-94.562700,100,SOTA,,
summit,W5O/OU-002,Winding Stair Mountain,34.709400,-94.677200,100,SOTA,,
summit,W5O/SO-001,Sugar Loaf Mountain,35.026300,-94.468500,100,SOTA,,
summit,W5O/WI-001,Comanche County HP,34.839800,-98.803500,100,SOTA,,
summit,W5O/WI-002,Mount Scott,34.744500,-98.532000,100,SOTA,,
summit,W5O/WI-003,Mount Pinchot,34.799400,-98.772900,100,SOTA,,
summit,W5O/WI-004,Mount Sheridan,34.762900,-98.589200,100,SOTA,,
summit,W5T/CH-001,Chinati Peak,29.953400,-104.477800,100,SOTA,,
summit,W5T/CH-002,Sierra Parda,29.947300,-104.531300,100,SOTA,,
summit,W5T/CI-001,Emory Peak,29.246000,-103.305100,100,SOTA,,
summit,W5T/CI-002,Lost Mine Peak,29.275500,-103.258400,100,SOTA,,
summit,W5T/CI-003,Casa Grande Peak,29.267700,-103.287300,100,SOTA,,
summit,W5T/CI-004,East Crown Mountain,29.257300,-103.248700,100,SOTA,,
summit,W5T/CI-005,West Crown Mountain,29.260500,-103.259900,100,SOTA,,
summit,W5T/CI-006,6905,29.287500,-103.293000,100,SOTA,,
summit,W5T/CI-007,6728,29.223800,-103.324000,100,SOTA,,
summit,W5T/DE-001,Black Mountain,30.722700,-103.981800,100,SOTA,,
summit,W5T/DE-002,Guide Peak,30.699300,-104.006700,100,SOTA,,
summit,W5T/DE-003,Mount Locke,30.671500,-104.022800,100,SOTA,,
summit,W5T/DE-004,6700,30.731200,-104.091100,100,SOTA,,
summit,W5T/DE-029,Gavina Ridge,30.728300,-104.039700,100,SOTA,,
summit,W5T/DN-001,Cathedral Mountain,30.175400,-103.663100,100,SOTA,,
summit,W5T/DN-002,Mount Ord,30.240500,-103.515300,100,SOTA,,
summit,W5T/DW-001,Mount Livermore,30.635600,-104.173700,100,SOTA,,
summit,W5T/DW-002,Brooks Mountain,30.633200,-104.207400,100,SOTA,,
summit,W5T/DW-003,Pine Peak,30.655300,-104.114100,100,SOTA,,
summit,W5T/DW-004,Sawtooth Mountain,30.685200,-104.228300,100,SOTA,,
